DateTime,AVGPD/A048W,DOMPD/A048W,WVHGT/A048W,WWHGT/A048W,WWPD/A048W,,,,,,,,
11/08/2018 1540,5.39,9.09,1.42,1.01,5.9,,,,,,,,
11/08/2018 1640,5.37,9.09,1.37,0.99,6.2,,,,,,,,
11/08/2018 1740,5.43,8.33,1.52,1.07,5.3,,,,,,,,
11/08/2018 1840,5.11,9.09,1.43,1.15,4.8,,,,,,,,
11/08/2018 1940,5.4,9.09,1.64,1.19,4.5,,,,,,,,
11/08/2018 2040,5.4,9.09,1.65,1.19,5,,,,,,,,
11/08/2018 2140,5.42,9.09,1.61,1.28,5.6,,,,,,,,
11/08/2018 2240,5.58,5.56,1.91,0.51,3.8,,,,,,,,
11/08/2018 2340,5.69,6.67,1.93,0.54,3.7,,,,,,,,
11/09/2018 0040,5.85,6.67,1.96,0.53,3.8,,,,,,,,
11/09/2018 0140,5.8,6.25,1.92,0.53,4,,,,,,,,
11/09/2018 0240,5.88,9.09,1.86,0.51,3.8,,,,,,,,
11/09/2018 0340,5.69,6.25,1.84,0.53,3.4,,,,,,,,
11/09/2018 0440,5.95,9.09,1.86,0.53,3.4,,,,,,,,
11/09/2018 0540,5.83,7.14,1.85,0.77,4.8,,,,,,,,
11/09/2018 0640,6.05,7.69,2.47,1.68,5.9,,,,,,,,
11/09/2018 0740,5.85,8.33,2.53,2.42,8.3,,,,,,,,
11/09/2018 0840,5.85,8.33,2.38,2.38,8.3,,,,,,,,
11/09/2018 0940,5.92,7.69,2.52,2.37,7.7,,,,,,,,
11/09/2018 1040,5.81,7.69,2.45,2.16,7.7,,,,,,,,
11/09/2018 1140,6.15,7.69,2.64,2.62,7.7,,,,,,,,
11/09/2018 1240,6.12,7.69,2.66,2.46,7.7,,,,,,,,
11/09/2018 1340,6.29,8.33,2.81,2.81,8.3,,,,,,,,
11/09/2018 1440,6.09,7.69,2.69,2.63,7.7,,,,,,,,
11/09/2018 1540,6.23,7.69,2.71,2.62,7.7,,,,,,,,
11/09/2018 1640,6.12,7.69,2.66,2.48,7.7,,,,,,,,
11/09/2018 1740,6.05,8.33,2.56,1.81,5.9,,,,,,,,
11/09/2018 1840,6.27,8.33,2.59,1.09,5.3,,,,,,,,
11/09/2018 1940,6.5,8.33,2.62,1.33,5.3,,,,,,,,
11/09/2018 2040,6.62,8.33,2.59,0.99,4.8,,,,,,,,
11/09/2018 2140,6.41,9.09,2.41,1.07,5.9,,,,,,,,
11/09/2018 2240,6.17,9.09,2.26,0.92,4.8,,,,,,,,
11/09/2018 2340,6.42,8.33,2.2,0.9,5.3,,,,,,,,
11/10/2018 0040,6.64,8.33,2.32,1.34,5.3,,,,,,,,
11/10/2018 0140,6.21,9.09,2.17,1.08,4.3,,,,,,,,
11/10/2018 0240,5.81,8.33,1.94,1.43,6.2,,,,,,,,
11/10/2018 0340,5.46,7.69,1.78,1.35,4.3,,,,,,,,
11/10/2018 0440,5.59,8.33,1.99,1.56,4.5,,,,,,,,
11/10/2018 0540,5.58,8.33,1.87,1.49,6.7,,,,,,,,
11/10/2018 0640,5.53,9.09,1.95,1.6,4.8,,,,,,,,
11/10/2018 0740,5.53,9.09,1.93,1.68,5.3,,,,,,,,
11/10/2018 0840,5.44,8.33,1.83,1.55,5.6,,,,,,,,
11/10/2018 0940,5.53,9.09,1.9,1.56,5,,,,,,,,
11/10/2018 1040,5.43,5.26,1.78,1.52,5.3,,,,,,,,
11/10/2018 1140,5.32,5.26,1.73,1.49,5.3,,,,,,,,
11/10/2018 1240,5.31,8.33,1.74,1.5,5.3,,,,,,,,
11/10/2018 1340,5.24,5,1.73,1.59,5,,,,,,,,
11/10/2018 1440,5.22,5.26,1.75,1.6,5.3,,,,,,,,
11/10/2018 1540,5.35,5.56,1.91,1.75,5.6,,,,,,,,
11/10/2018 1640,5.36,5.56,1.87,1.74,5.6,,,,,,,,
11/10/2018 1740,5.27,5.56,1.76,1.66,5.6,,,,,,,,
11/10/2018 1840,5.28,5.56,1.95,1.84,5.6,,,,,,,,
11/10/2018 1940,5.39,5.88,2.01,1.87,5.9,,,,,,,,
11/10/2018 2040,5.44,6.67,1.94,1.86,6.7,,,,,,,,
11/10/2018 2140,5.31,6.67,1.94,1.8,6.7,,,,,,,,
11/10/2018 2240,5.37,7.14,2.12,2.05,7.1,,,,,,,,
11/10/2018 2340,5.4,5.88,2.28,2.24,5.9,,,,,,,,
11/11/2018 0040,5.69,6.67,2.62,2.57,6.7,,,,,,,,
11/11/2018 0140,5.91,7.14,2.77,2.72,7.1,,,,,,,,
11/11/2018 0240,6.41,7.69,3.36,3.31,7.7,,,,,,,,
11/11/2018 0340,6.25,8.33,2.97,2.88,8.3,,,,,,,,
11/11/2018 0440,6.76,8.33,3.43,3.37,8.3,,,,,,,,
11/11/2018 0540,6.74,8.33,3.26,2.72,8.3,,,,,,,,
11/11/2018 0640,6.72,9.09,3.06,2.37,6.2,,,,,,,,
11/11/2018 0740,6.81,9.09,3.01,2.06,5.6,,,,,,,,
11/11/2018 0840,6.8,9.09,3.09,2.39,5.3,,,,,,,,
11/11/2018 0940,6.96,9.09,3.19,2.33,6.2,,,,,,,,
11/11/2018 1040,7,10,3.04,1.9,6.7,,,,,,,,
11/11/2018 1140,7.15,10,3.26,1.88,6.2,,,,,,,,
11/11/2018 1240,7.19,10,3.2,1.87,5.9,,,,,,,,
11/11/2018 1340,7.02,9.09,3.24,1.71,5.6,,,,,,,,
11/11/2018 1440,6.82,9.09,3.14,1.59,6.2,,,,,,,,
11/11/2018 1540,6.53,9.09,2.54,1.5,6.7,,,,,,,,
11/11/2018 1640,6.97,9.09,2.72,1.48,6.2,,,,,,,,
11/11/2018 1740,6.58,9.09,2.5,1.24,6.2,,,,,,,,
11/11/2018 1840,6.48,9.09,2.41,1.14,5.9,,,,,,,,
11/11/2018 1940,6.35,9.09,2.24,1.33,6.7,,,,,,,,
11/11/2018 2040,6.17,9.09,2.13,1.23,5.9,,,,,,,,
11/11/2018 2140,6.34,9.09,2.25,1.25,5.6,,,,,,,,
11/11/2018 2240,6.1,8.33,1.98,1.15,5.9,,,,,,,,
11/11/2018 2340,6.15,8.33,2.15,1.19,5,,,,,,,,
11/12/2018 0040,6.02,8.33,1.97,1.17,5.9,,,,,,,,
11/12/2018 0140,6.07,8.33,1.96,0.96,5.6,,,,,,,,
11/12/2018 0240,5.85,7.69,1.76,1,5.3,,,,,,,,
11/12/2018 0340,6.12,7.69,1.86,0.82,5,,,,,,,,
11/12/2018 0440,5.72,7.14,1.77,0.82,4.3,,,,,,,,
11/12/2018 0540,,,,,,,,,,,,,
11/12/2018 0640,6.16,7.14,1.76,0.55,3.8,,,,,,,,
11/12/2018 0740,6.24,7.69,1.72,0.52,3.6,,,,,,,,
11/12/2018 0840,6.15,8.33,1.66,0.43,3.8,,,,,,,,
11/12/2018 0940,6.18,7.69,1.62,0.63,5,,,,,,,,
11/12/2018 1040,5.76,7.14,1.57,0.85,5.6,,,,,,,,
11/12/2018 1140,5.84,7.69,1.56,0.5,3.8,,,,,,,,
11/12/2018 1240,5.99,7.14,1.49,0.64,4.5,,,,,,,,
11/12/2018 1340,5.88,7.14,1.48,0.46,3.8,,,,,,,,
11/12/2018 1440,5.77,6.67,1.42,0.45,3.8,,,,,,,,
11/12/2018 1540,5.71,7.69,1.35,0.47,4.2,,,,,,,,
11/12/2018 1640,5.79,6.67,1.36,0.43,4,,,,,,,,
11/12/2018 1740,5.88,7.14,1.33,0.39,4,,,,,,,,
11/12/2018 1840,5.81,7.14,1.26,0.4,3.6,,,,,,,,
11/12/2018 1940,5.72,8.33,1.2,0.45,4.3,,,,,,,,
11/12/2018 2040,5.92,8.33,1.36,0.42,4,,,,,,,,
11/12/2018 2140,5.73,6.67,1.18,0.39,3.7,,,,,,,,
11/12/2018 2240,5.68,8.33,1.16,0.44,3.8,,,,,,,,
11/12/2018 2340,5.77,8.33,1.19,0.44,3.7,,,,,,,,
11/13/2018 0040,5.76,8.33,1.17,0.43,4,,,,,,,,
11/13/2018 0140,5.38,8.33,1.12,0.87,6.2,,,,,,,,
11/13/2018 0240,5.14,7.69,1.1,0.71,5.9,,,,,,,,
11/13/2018 0340,5.14,8.33,1.12,0.77,5.9,,,,,,,,
11/13/2018 0440,4.8,9.09,1.09,0.79,6.2,,,,,,,,
11/13/2018 0540,4.96,7.69,1.2,0.91,4,,,,,,,,
11/13/2018 0640,4.72,4.17,1.31,1.1,4.2,,,,,,,,
11/13/2018 0740,4.72,4.55,1.41,1.3,4.5,,,,,,,,
11/13/2018 0840,4.81,5,1.48,1.33,5,,,,,,,,
11/13/2018 0940,4.98,5,1.79,1.71,5,,,,,,,,
11/13/2018 1040,5.15,5.56,1.96,1.91,5.6,,,,,,,,
11/13/2018 1140,5.19,5.88,1.86,1.8,5.9,,,,,,,,
11/13/2018 1240,5.2,6.25,1.74,1.66,6.2,,,,,,,,
11/13/2018 1340,5.25,6.67,1.76,1.69,6.7,,,,,,,,
11/13/2018 1440,5.25,6.25,1.94,1.88,6.2,,,,,,,,
11/13/2018 1540,5.47,6.25,2.31,2.26,6.2,,,,,,,,
11/13/2018 1640,5.4,6.67,2.27,2.2,6.7,,,,,,,,
11/13/2018 1740,5.96,7.14,2.6,2.58,7.1,,,,,,,,
11/13/2018 1840,6.32,7.69,3.22,3.21,7.7,,,,,,,,
11/13/2018 1940,6.16,8.33,2.76,2.74,8.3,,,,,,,,
11/13/2018 2040,6.08,7.69,2.89,2.84,7.7,,,,,,,,
11/13/2018 2140,6.2,7.69,3.09,2.93,7.7,,,,,,,,
11/13/2018 2240,6.31,8.33,2.95,2.94,8.3,,,,,,,,
11/13/2018 2340,6.18,8.33,2.82,2.55,8.3,,,,,,,,
11/14/2018 0040,6.49,8.33,3.27,3.25,8.3,,,,,,,,
11/14/2018 0140,6.47,8.33,3.4,3.39,8.3,,,,,,,,
11/14/2018 0240,6.12,7.69,2.99,2.88,7.7,,,,,,,,
11/14/2018 0340,6.47,7.69,3.36,3.35,7.7,,,,,,,,
11/14/2018 0440,6.38,7.69,3.1,3.08,7.7,,,,,,,,
11/14/2018 0540,6.29,7.69,3.02,3.02,7.7,,,,,,,,
11/14/2018 0640,6.37,8.33,2.9,2.25,5.9,,,,,,,,
11/14/2018 0740,6.24,8.33,3.03,3.03,8.3,,,,,,,,
11/14/2018 0840,6.29,8.33,2.84,2.84,8.3,,,,,,,,
11/14/2018 0940,6.09,7.69,2.76,2.58,7.7,,,,,,,,
11/14/2018 1040,6.04,8.33,2.54,2.54,8.3,,,,,,,,
11/14/2018 1140,6.09,7.14,2.56,2.52,7.1,,,,,,,,
11/14/2018 1240,5.76,7.69,2.53,2.53,7.7,,,,,,,,
11/14/2018 1340,5.79,7.69,2.51,2.51,7.7,,,,,,,,
11/14/2018 1440,5.84,6.67,2.43,2.4,6.7,,,,,,,,
11/14/2018 1540,5.93,7.14,2.62,2.62,7.1,,,,,,,,
11/14/2018 1640,5.79,7.69,2.37,2.37,7.7,,,,,,,,
11/14/2018 1740,5.95,7.69,2.34,2.34,7.7,,,,,,,,
11/14/2018 1840,6.12,7.14,2.51,2.35,7.1,,,,,,,,
11/14/2018 1940,6.03,7.69,2.57,2.28,7.7,,,,,,,,
11/14/2018 2040,,,,,,,,,,,,,
11/14/2018 2140,,,,,,,,,,,,,
11/14/2018 2240,6.4,8.33,2.82,2.82,8.3,,,,,,,,
