DateTime,WSPD1/A001E,WSPD11/A001E,WSPD12/A001E,WDIR1/A001E,,,,,,
03/12/2016 2210,5.2,5.8,6.31,173,,,,,,
03/12/2016 2220,5,5.58,6.07,177,,,,,,
03/12/2016 2230,5,5.58,6.07,182,,,,,,
03/12/2016 2240,4.9,5.47,5.94,180,,,,,,
03/12/2016 2250,4.8,5.36,5.82,176,,,,,,
03/12/2016 2300,4.9,5.47,5.94,176,,,,,,
03/12/2016 2310,4.8,5.36,5.82,174,,,,,,
03/12/2016 2320,4.8,5.36,5.82,184,,,,,,
03/12/2016 2330,4.5,5.02,5.46,187,,,,,,
03/12/2016 2340,5.1,5.69,6.19,191,,,,,,
03/12/2016 2350,4.7,5.25,5.7,187,,,,,,
03/13/2016 0000,4.3,4.8,5.22,196,,,,,,
03/13/2016 0010,4.3,4.8,5.22,198,,,,,,
03/13/2016 0020,4.1,4.58,4.97,204,,,,,,
03/13/2016 0030,4.1,4.58,4.97,197,,,,,,
03/13/2016 0040,4.6,5.13,5.58,191,,,,,,
03/13/2016 0050,4.9,5.47,5.94,195,,,,,,
03/13/2016 0100,4.5,5.02,5.46,188,,,,,,
03/13/2016 0110,4.3,4.8,5.22,191,,,,,,
03/13/2016 0120,3.9,4.35,4.73,195,,,,,,
03/13/2016 0130,4,4.46,4.85,197,,,,,,
03/13/2016 0140,3.9,4.35,4.73,190,,,,,,
03/13/2016 0150,4.1,4.58,4.97,191,,,,,,
03/13/2016 0200,4.8,5.36,5.82,192,,,,,,
03/13/2016 0210,5.3,5.92,6.43,196,,,,,,
03/13/2016 0220,5.3,5.92,6.43,197,,,,,,
03/13/2016 0230,5.1,5.69,6.19,194,,,,,,
03/13/2016 0240,5.1,5.69,6.19,192,,,,,,
03/13/2016 0250,5.3,5.92,6.43,200,,,,,,
03/13/2016 0300,5.2,5.8,6.31,198,,,,,,
03/13/2016 0310,5,5.58,6.07,199,,,,,,
03/13/2016 0320,4.9,5.47,5.94,201,,,,,,
03/13/2016 0330,5.2,5.8,6.31,205,,,,,,
03/13/2016 0340,5.3,5.92,6.43,204,,,,,,
03/13/2016 0350,5.4,6.03,6.55,205,,,,,,
03/13/2016 0400,5,5.58,6.07,212,,,,,,
03/13/2016 0410,4.5,5.02,5.46,207,,,,,,
03/13/2016 0420,4.2,4.69,5.09,213,,,,,,
03/13/2016 0430,4.7,5.25,5.7,212,,,,,,
03/13/2016 0440,5.6,6.25,6.79,220,,,,,,
03/13/2016 0450,5.3,5.92,6.43,218,,,,,,
03/13/2016 0500,6.4,7.14,7.76,212,,,,,,
03/13/2016 0510,6.2,6.92,7.52,218,,,,,,
03/13/2016 0520,6.2,6.92,7.52,218,,,,,,
03/13/2016 0530,5.8,6.47,7.04,223,,,,,,
03/13/2016 0540,5.8,6.47,7.04,222,,,,,,
03/13/2016 0550,5.1,5.69,6.19,211,,,,,,
03/13/2016 0600,5,5.58,6.07,200,,,,,,
03/13/2016 0610,6.5,7.26,7.88,199,,,,,,
03/13/2016 0620,6.5,7.26,7.88,225,,,,,,
03/13/2016 0630,7.9,8.82,9.58,245,,,,,,
03/13/2016 0640,8.3,9.26,10.07,242,,,,,,
03/13/2016 0650,8.8,9.82,10.67,233,,,,,,
03/13/2016 0700,8.5,9.49,10.31,235,,,,,,
03/13/2016 0710,8.9,9.93,10.8,241,,,,,,
03/13/2016 0720,8.4,9.38,10.19,243,,,,,,
03/13/2016 0730,8.2,9.15,9.95,243,,,,,,
03/13/2016 0740,8.6,9.6,10.43,235,,,,,,
03/13/2016 0750,8.3,9.26,10.07,232,,,,,,
03/13/2016 0800,8.4,9.38,10.19,234,,,,,,
03/13/2016 0810,8.7,9.71,10.55,233,,,,,,
03/13/2016 0820,8.8,9.82,10.67,227,,,,,,
03/13/2016 0830,8.4,9.38,10.19,225,,,,,,
03/13/2016 0840,8.8,9.82,10.67,226,,,,,,
03/13/2016 0850,9.1,10.16,11.04,223,,,,,,
03/13/2016 0900,9,10.05,10.92,224,,,,,,
03/13/2016 0910,9.4,10.49,11.4,224,,,,,,
03/13/2016 0920,9.6,10.72,11.65,227,,,,,,
03/13/2016 0930,9.3,10.38,11.28,227,,,,,,
03/13/2016 0940,8.8,9.82,10.67,227,,,,,,
03/13/2016 0950,9.1,10.16,11.04,226,,,,,,
03/13/2016 1000,8.6,9.6,10.43,231,,,,,,
03/13/2016 1010,8.5,9.49,10.31,225,,,,,,
03/13/2016 1020,8.3,9.26,10.07,231,,,,,,
03/13/2016 1030,7.9,8.82,9.58,232,,,,,,
03/13/2016 1040,8.2,9.15,9.95,231,,,,,,
03/13/2016 1050,8.1,9.04,9.83,230,,,,,,
03/13/2016 1100,7.7,8.59,9.34,230,,,,,,
03/13/2016 1110,7.8,8.71,9.46,231,,,,,,
03/13/2016 1120,7.7,8.59,9.34,227,,,,,,
03/13/2016 1130,7.9,8.82,9.58,230,,,,,,
03/13/2016 1140,7.5,8.37,9.1,234,,,,,,
