DateTime,WSPD1/A048E,WSPD11/A048E,WSPD12/A048E,WDIR1/A048E,,,,,,,,
08/20/2018 1210,3,3.24,3.43,233,,,,,,,,
08/20/2018 1220,3.1,3.35,3.55,236,,,,,,,,
08/20/2018 1230,3.2,3.46,3.66,218,,,,,,,,
08/20/2018 1240,3.4,3.68,3.9,218,,,,,,,,
08/20/2018 1250,3.1,3.35,3.55,220,,,,,,,,
08/20/2018 1300,3.3,3.57,3.78,219,,,,,,,,
08/20/2018 1310,3.3,3.57,3.78,212,,,,,,,,
08/20/2018 1320,3.4,3.68,3.9,208,,,,,,,,
08/20/2018 1330,3.7,4.01,4.25,216,,,,,,,,
08/20/2018 1340,3.7,4.01,4.25,211,,,,,,,,
08/20/2018 1350,3.7,4.01,4.25,217,,,,,,,,
08/20/2018 1400,3.8,4.12,4.36,224,,,,,,,,
08/20/2018 1410,3.9,4.23,4.48,224,,,,,,,,
08/20/2018 1420,4.3,4.67,4.95,220,,,,,,,,
08/20/2018 1430,4.3,4.67,4.95,212,,,,,,,,
08/20/2018 1440,3.9,4.23,4.48,219,,,,,,,,
08/20/2018 1450,4.1,4.45,4.72,214,,,,,,,,
08/20/2018 1500,4.2,4.56,4.83,228,,,,,,,,
08/20/2018 1510,4.1,4.45,4.72,222,,,,,,,,
08/20/2018 1520,4.1,4.45,4.72,229,,,,,,,,
08/20/2018 1530,4.1,4.45,4.72,232,,,,,,,,
08/20/2018 1540,4.3,4.67,4.95,228,,,,,,,,
08/20/2018 1550,4,4.34,4.6,244,,,,,,,,
08/20/2018 1600,4.2,4.56,4.83,230,,,,,,,,
08/20/2018 1610,3.8,4.12,4.36,234,,,,,,,,
08/20/2018 1620,3.5,3.79,4.01,237,,,,,,,,
08/20/2018 1630,3.4,3.68,3.9,234,,,,,,,,
08/20/2018 1640,3.4,3.68,3.9,248,,,,,,,,
08/20/2018 1650,3.5,3.79,4.01,236,,,,,,,,
08/20/2018 1700,3.5,3.79,4.01,236,,,,,,,,
08/20/2018 1710,3.5,3.79,4.01,238,,,,,,,,
08/20/2018 1720,3.7,4.01,4.25,246,,,,,,,,
08/20/2018 1730,3.4,3.68,3.9,249,,,,,,,,
08/20/2018 1740,3,3.24,3.43,239,,,,,,,,
08/20/2018 1750,2.7,2.92,3.08,241,,,,,,,,
